t_ns,px,py,pz,qx,qy,qz,qw
1773764613209487097,0.5548175573348999,-0.05275334417819977,3.3797097206115723,-0.010177279822528362,0.9642911553382874,0.0003778596001211554,0.2646486759185791
1773764613256101541,0.5545735359191895,-0.05167609453201294,3.3795859813690186,-0.009478287771344185,0.9654902815818787,0.00042959966231137514,0.2602662742137909
1773764613304132453,0.5534429550170898,-0.052166689187288284,3.377317428588867,-0.010018290020525455,0.9665810465812683,0.00021896795078646392,0.25616541504859924
1773764613352041722,0.5502437353134155,-0.053961604833602905,3.3794784545898438,-0.009902048856019974,0.967698872089386,0.0007195037906058133,0.25191330909729004
1773764613410911550,0.5519417524337769,-0.05442546308040619,3.381979465484619,-0.009721859358251095,0.9690027832984924,0.0007471164572052658,0.24685747921466827
1773764613463280465,0.5492513179779053,-0.05696951225399971,3.3791422843933105,-0.010354442521929741,0.9700416326522827,0.000877539801876992,0.2427164763212204
1773764613512668380,0.5540567636489868,-0.04825827106833458,3.3771300315856934,-0.009774550795555115,0.971229076385498,-0.0006381651037372649,0.2379457801580429
1773764613559142245,0.5529124736785889,-0.05064897611737251,3.3793277740478516,-0.010189637541770935,0.9723681211471558,-0.0002244415954919532,0.23323017358779907
1773764613609140862,0.551917314529419,-0.051892731338739395,3.385077953338623,-0.010136011056602001,0.9735617637634277,-0.000173207838088274,0.2281990647315979
1773764613658156664,0.5522521734237671,-0.052687518298625946,3.386734962463379,-0.01051932480186224,0.9746829867362976,-4.7191129851853475e-05,0.22334372997283936
1773764613711194642,0.5536876916885376,-0.04813739284873009,3.384441614151001,-0.009962618350982666,0.9757120609283447,-0.0006796921952627599,0.21882949769496918
1773764613761438160,0.5502128601074219,-0.05098690837621689,3.387721300125122,-0.010676725767552853,0.9766535758972168,-0.00034187419805675745,0.21455465257167816
1773764613815886033,0.5521652698516846,-0.05045103654265404,3.390428066253662,-0.010568701662123203,0.9777709245681763,-0.00040722396806813776,0.20940913259983063
1773764613865187192,0.5366628170013428,-0.055078066885471344,3.3653314113616943,-0.010797684080898762,0.9779229164123535,-0.00024146679788827896,0.20868687331676483
1773764613912407068,0.546156644821167,-0.056818168610334396,3.372352123260498,-0.010813920758664608,0.9792106747627258,8.73949466040358e-05,0.20255747437477112
1773764613959497777,0.5391684770584106,-0.054123394191265106,3.3661460876464844,-0.010483792051672935,0.9799144864082336,-0.00047729385551065207,0.19914191961288452
1773764614017237836,0.5345491170883179,-0.06421436369419098,3.3651485443115234,-0.01122809574007988,0.9807117581367493,0.0010390342213213444,0.19513407349586487
1773764614063093204,0.5292255878448486,-0.06694135069847107,3.3663272857666016,-0.010708104819059372,0.9814732670783997,0.0016398916486650705,0.19129250943660736
1773764614115082770,0.5390872955322266,-0.06484916806221008,3.372504234313965,-0.010722840204834938,0.9826781153678894,0.0012279367074370384,0.18500615656375885
1773764614169082212,0.5359680652618408,-0.06695722043514252,3.3680295944213867,-0.010959899052977562,0.9833943843841553,0.0013187071308493614,0.1811455488204956
1773764614218699137,0.5349180698394775,-0.05853458493947983,3.366353988647461,-0.01020637433975935,0.9842076897621155,0.0004074116295669228,0.1767226755619049
1773764614270112397,0.5334502458572388,-0.06401291489601135,3.365994691848755,-0.010623498819768429,0.9849425554275513,0.0010154091287404299,0.17255209386348724
1773764614312284337,0.53722083568573,-0.05789530649781227,3.372697591781616,-0.010540488176047802,0.9859480261802673,-0.00010564870171947405,0.16671966016292572
1773764614367781163,0.5350870490074158,-0.05066170543432236,3.3673908710479736,-0.010070744901895523,0.986614465713501,-0.0011298633180558681,0.16275504231452942
1773764614412821136,0.5397328734397888,-0.04691924899816513,3.3676156997680664,-0.010199199430644512,0.9874485731124878,-0.001960535766556859,0.1575985550880432
1773764614467807592,0.5352660417556763,-0.05143040046095848,3.365773916244507,-0.010240623727440834,0.988071084022522,-0.0015301074599847198,0.15365026891231537
1773764614516365554,0.5338715314865112,-0.05047628656029701,3.3657281398773193,-0.010119043290615082,0.9887420535087585,-0.0014472221955657005,0.14928080141544342
1773764614578928857,0.529167890548706,-0.047973666340112686,3.3664958477020264,-0.010439575649797916,0.9893863797187805,-0.0020655537955462933,0.1449183076620102
1773764614622071390,0.5326917171478271,-0.04945413023233414,3.3667898178100586,-0.010068647563457489,0.99009108543396,-0.0015136011643335223,0.14005686342716217
1773764614669068287,0.5333635210990906,-0.045032672584056854,3.3764679431915283,-0.009916778653860092,0.990882158279419,-0.0019774935208261013,0.1343516707420349
1773764614714379049,0.5307357907295227,-0.04692651331424713,3.367094039916992,-0.010022255592048168,0.9913601875305176,-0.002077970653772354,0.13076791167259216
1773764614768632429,0.5291939973831177,-0.04131275415420532,3.3553900718688965,-0.010396484285593033,0.9918169379234314,-0.0035675300750881433,0.12719440460205078
1773764614818004834,0.5284156203269958,-0.040765538811683655,3.3569390773773193,-0.009969000704586506,0.9923971891403198,-0.0035130365286022425,0.12262200564146042
1773764614864947247,0.5223545432090759,-0.05419839173555374,3.35665225982666,-0.011310912668704987,0.9928694367408752,-0.001680817105807364,0.11865675449371338
1773764614927889547,0.5213184356689453,-0.05477815121412277,3.3615708351135254,-0.011390795931220055,0.9934601187705994,-0.0017356800381094217,0.11359666287899017
1773764614969775549,0.5237314105033875,-0.05498393625020981,3.362600564956665,-0.010627280920743942,0.9940183162689209,-0.0012517397990450263,0.10868806391954422
1773764615018667852,0.5275051593780518,-0.04842114448547363,3.3575596809387207,-0.010761597193777561,0.9945394992828369,-0.002559176879003644,0.10377335548400879
1773764615074887183,0.5273205637931824,-0.05537601187825203,3.363245964050293,-0.011582144536077976,0.9950734376907349,-0.001776582794263959,0.09844567626714706
1773764615120536464,0.5288113355636597,-0.05501730740070343,3.361599922180176,-0.011008370667696,0.9955224990844727,-0.0016216849908232689,0.09386816620826721
1773764615166502894,0.5228819251060486,-0.05405178293585777,3.3510751724243164,-0.01147236954420805,0.9958106875419617,-0.0022223184350878,0.0906897708773613
1773764615219433424,0.5221591591835022,-0.04570678249001503,3.3555054664611816,-0.010640107095241547,0.9962347745895386,-0.003336905501782894,0.08597633987665176
1773764615274530392,0.5200336575508118,-0.051536619663238525,3.348966598510742,-0.010625671595335007,0.9965699315071106,-0.002432088367640972,0.08203404396772385
1773764615327130649,0.5139693021774292,-0.05467640236020088,3.3438050746917725,-0.011206921190023422,0.9968600273132324,-0.0023694736883044243,0.07835066318511963
1773764615375466825,0.5150665640830994,-0.048598647117614746,3.3509817123413086,-0.010974576696753502,0.9972646236419678,-0.0032185008749365807,0.07302407920360565
1773764615422082290,0.513502836227417,-0.059278249740600586,3.354034900665283,-0.011871826834976673,0.9975844621658325,-0.0017800070345401764,0.06841916590929031
1773764615477372247,0.5182056427001953,-0.05762641504406929,3.3567237854003906,-0.010500053875148296,0.997952938079834,-0.0016379596199840307,0.06306380033493042
1773764615536789252,0.5183970332145691,-0.04940572381019592,3.3506217002868652,-0.01059829443693161,0.9982128739356995,-0.0031580121722072363,0.05872640386223793
1773764615576650189,0.5212088823318481,-0.05131823569536209,3.3478057384490967,-0.010532085783779621,0.9984909296035767,-0.0030680473428219557,0.053810395300388336
1773764615628754003,0.5148699879646301,-0.043880946934223175,3.3433027267456055,-0.010959016159176826,0.9986815452575684,-0.004604831803590059,0.04993930086493492
1773764615679867989,0.5192025899887085,-0.051413506269454956,3.355832576751709,-0.010601171292364597,0.9989628791809082,-0.002671214286237955,0.04420105740427971
1773764615729993137,0.5156357288360596,-0.047681715339422226,3.351558208465576,-0.011216740123927593,0.9991219639778137,-0.003852604888379574,0.04018253833055496
1773764615778546259,0.5044274926185608,-0.05014476180076599,3.3393688201904297,-0.010311683639883995,0.999214768409729,-0.003193739103153348,0.038123246282339096
1773764615832094826,0.5087421536445618,-0.05339716374874115,3.348266839981079,-0.011154072359204292,0.9994223117828369,-0.002740039024502039,0.0319860465824604
1773764615876091857,0.5096860527992249,-0.05743034929037094,3.3397998809814453,-0.010937287472188473,0.9995447993278503,-0.0021860450506210327,0.028032531961798668
1773764615929201712,0.4984665513038635,-0.06661580502986908,3.352621555328369,-0.011656157672405243,0.9996497631072998,-0.0006105396314524114,0.023751357570290565
1773764615981267273,0.5049337148666382,-0.05656115710735321,3.3412058353424072,-0.011164083145558834,0.9997520446777344,-0.0026156632229685783,0.019090479239821434
1773764616032445541,0.4944162964820862,-0.057511404156684875,3.332747459411621,-0.010298985987901688,0.9998047947883606,-0.0019366040360182524,0.01675100065767765
1773764616080905294,0.48990437388420105,-0.06681396067142487,3.3348515033721924,-0.01144443266093731,0.9998548030853271,-0.0008808525744825602,0.012598881497979164
